LinearSVC,,,,,,
cv,random_state = 0,random_state = 1,random_state = 2,random_state = 3,random_state = 4,random_state = 5
2,0.63000228349,0.459444616982,0.453130883152,0.473690880695,0.505957346752,0.404162197965
3,0.461595303635,0.369294809519,0.504858235046,0.398978119925,0.254993606208,0.535260703104
4,0.520113090604,0.431220352671,0.439161633645,0.355354840086,0.433683564125,0.26242342841
5,0.373242751389,0.381931012605,0.527114644072,0.505773086926,0.272754032526,0.287471192889
6,0.343222071474,0.452709025121,0.441503969151,0.669562529088,0.466867515603,0.366117158936
7,0.535577197173,0.644487008901,0.461382553915,0.582710568274,0.680432382695,0.579998905602
8,0.486083394346,0.443368660333,0.385948904187,0.24875828167,0.420624484329,0.375388634851
9,0.522151100273,0.404756297163,0.460232430164,0.500118676087,0.52862728641,0.307666335212
10,0.488436890151,0.497054766779,0.530110526668,0.422502045752,0.351811090391,0.372227326433
11,0.350153907803,0.589103188664,0.411625844033,0.419882225847,0.478546042844,0.411539258055
12,0.427772808608,0.445447266733,0.458036223475,0.38212738599,0.528223263942,0.504237930754
13,0.498740668495,0.433772365433,0.485368254352,0.452853531572,0.507241618974,0.456504655889
14,0.469968808244,0.437042197922,0.439004893751,0.50270937176,0.576488401547,0.413721089517
15,0.543434574736,0.3531890999,0.408742534336,0.417221509671,0.448268113651,0.454136117099
16,0.390512076065,0.442192971766,0.441435513834,0.442089932393,0.479896579313,0.539461792693
17,0.492691427958,0.473688716647,0.406329453607,0.502387483045,0.334970549905,0.356351332635
18,0.429101548647,0.384135567925,0.458917769163,0.479980871924,0.505668582686,0.4556037049
19,0.404889240488,0.370827389714,0.403884661702,0.439809318651,0.504135148093,0.502057964881
20,0.406183292341,0.502668773618,0.432911134307,0.364130325056,0.537015986085,0.467925530134
21,0.474007468775,0.422246857938,0.480585141521,0.473336191379,0.46487226743,0.445567870056
22,0.379608752329,0.481071138466,0.410203220957,0.482744968995,0.423929047387,0.484387334354
23,0.460250999257,0.517113209942,0.370017960477,0.469128836367,0.489771273779,0.521031943876
24,0.460671225888,0.434215959395,0.466668368855,0.498166878137,0.408165335942,0.402649600221
25,0.443850354925,0.432287081667,0.459203953915,0.544426932267,0.471692717573,0.402249171286
26,0.420629143954,0.402942304241,0.460895600758,0.441440175929,0.458841944654,0.501307562091
27,0.443441559387,0.522224020123,0.483797241681,0.470519263702,0.449156751369,0.405734152014
28,0.342083013332,0.542151411805,0.493561647332,0.439495075829,0.430264264144,0.482196046112
29,0.502069597775,0.43672941246,0.460621986882,0.401465264734,0.454167862775,0.434828834504
30,0.373477442089,0.436618416332,0.442825609411,0.455239246113,0.499101041267,0.466814031666
31,0.496720398415,0.457817462566,0.439278450583,0.540730735393,0.442756608159,0.569097946897
32,0.478768286703,0.467163657213,0.49428196228,0.365669226486,0.398065241381,0.412583604464
33,0.433671136173,0.44707780719,0.422920995839,0.465423350264,0.424201443918,0.482807554225
34,0.410421059473,0.411931815843,0.392909885638,0.483156018669,0.453545203553,0.437347662711
35,0.371777460161,0.358649274137,0.422343308176,0.410070330063,0.472496243547,0.402062632328
36,0.371526547693,0.390039462221,0.408284505538,0.447525406794,0.500081378937,0.441360073312
37,0.417463218671,0.48925265279,0.461496934181,0.499328658378,0.474100693936,0.433052301483
38,0.422847973439,0.400816064547,0.407069380462,0.517248637212,0.546594165625,0.437823468604
39,0.406022224703,0.40706885088,0.346646086016,0.490823411025,0.424508119398,0.459164646042
40,0.462691162368,0.430560076423,0.457946716394,0.395965715474,0.444196881111,0.471226050039
41,0.391186860705,0.478496597021,0.438691610878,0.405542201055,0.452004377142,0.541551103356
42,0.486606462391,0.450092275346,0.459303448216,0.449153474678,0.398910185456,0.455591518872
43,0.481581960116,0.401635415674,0.404647923589,0.429015337812,0.449790911964,0.451572260474
44,0.465209117262,0.425612043874,0.429577136197,0.496435853541,0.512213261101,0.44968470483
45,0.47523441905,0.436434074897,0.403547169142,0.381248018935,0.37888908915,0.37590849804
46,0.455515049068,0.489324509377,0.461027782629,0.405457206089,0.414890956314,0.458854241952
47,0.481759001529,0.499991887271,0.447099604953,0.459467281202,0.401728025519,0.44779418965
48,0.455138818785,0.469283881754,0.435317165604,0.449497247235,0.419357727475,0.422605899974
49,0.471486464114,0.388714493384,0.420796365534,0.429295025058,0.457829573441,0.468153767801
50,0.499352411381,0.449569473027,0.390637950062,0.438161190901,0.403295561136,0.447602277447
